regla,intento,accion,resultado,observacion,paso_a_paso,evidencia
,1,Preparar host y VMs: instalar VMware Player y crear VM pfSense,exitoso,Se creó VM pfSense y VM cliente; hubo que activar VT-x en BIOS y ajustar adaptadores.,,
,2,Configurar redes virtuales (VMnet8 NAT y VMnet1 Host-Only),exitoso,Host-only quedó en 192.168.74.0/24 inicialmente; luego se cambió a 192.168.1.0/24 o se adaptó pfSense según el caso.,,
,3,Instalar pfSense desde ISO y asignar interfaces (WAN y LAN),exitoso,pfSense instalado; WAN recibió IP del NAT (ej. 192.168.180.120) y LAN quedó 192.168.1.1.,,
,4,Cliente no obtenía DNS correcto,falló,Cliente recibió DNS 192.168.1.254 (inválido); no resolvía nombres -> no navegación.,,
,5,Cambiar DNS en DHCP de pfSense a 8.8.8.8 y 1.1.1.1,exitoso,Cliente renovó IP y pudo resolver google.com; navegación básica OK.,,
,6,Acceso WebGUI fallaba por HTTPS (timeout),falló,El webConfigurator no respondía en 443; se accedió por HTTP y reiniciaron servicios.,,
,7,Habilitar WebGUI y configurar zona horaria y credenciales,exitoso,Cambio de contraseña admin y configuración base (America/Guatemala).,,
,8,Instalar Squid y SquidGuard (paquetes),exitoso,Paquetes instalados; versión antigua de Squid (0.4.46) mostraba limitaciones en SSL.,,
,9,Configurar Squid en modo transparente y probar bloqueo HTTP,exitoso,"Bloqueo de dominios HTTP funcionó (sitios no-HTTPS), pero YouTube (HTTPS) no se bloqueaba.",,
,10,Intentar bloquear youtube.com en Domain List de SquidGuard,falló,Campo Domain List concatenaba dominios (bug); no aceptaba más de 2 entradas; bloqueo no efectivo.,,
,11,Probar bloqueo por IP fijo (host) para facebook.es,exitoso,facebook.es bloqueó porque resolvió a una IP en la lista; facebook.com seguía accesible por otras IPs.,,
,12,Crear Firewall Alias con algunas IPs de Facebook (hosts únicos),falló,Bloquear IPs individuales no cubre todo Meta; facebook.com siguió entrando por IPs no listadas.,,
,13,Crear Firewall Alias con rangos CIDR de Meta (AS32934),exitoso,"Se añadieron múltiples subnets (ej. 157.240.0.0/16, 31.13.64.0/18, 185.60.216.0/22); bloqueo mejoró pero algunos servicios HTTPS seguían accesibles.",,
,14,Intentar bloquear YouTube por rangos de Google (CIDR) en alias,falló,Google/YouTube usan muchos rangos; bloqueo por IP es frágil y puede afectar otros servicios Google.,,
,15,Intentar SSL Bump en Squid (habilitar SSL/MITM y crear CA),exitoso,"Se creó CA en pfSense; Squid mostró opción SSL Man-in-the-Middle, pero la versión de Squid requería pasos finos. Se avanzó creando CA_Squid.",,
